R,G,B
68,19,23
58,17,33
40,16,40
25,21,38
25,25,35
29,22,30
25,17,32
7,19,31
0,30,27
13,42,24
17,20,1
39,24,17
53,43,51
19,17,31
32,17,36
54,21,38
7,28,47
31,26,33
55,31,31
35,21,18
19,30,24
25,42,34
17,24,16
20,19,15
36,39,44
18,32,35
7,23,23
11,26,29
9,29,38
6,33,44
16,36,35
19,30,14
3,24,15
22,25,16
33,24,19
24,17,25
29,32,51
15,21,37
17,17,29
33,29,44
30,24,50
32,24,48
32,20,34
38,32,34
32,40,42
10,23,31
46,47,52
39,25,25
37,10,29
49,37,49
37,41,44
27,31,30
41,33,31
42,26,26
36,25,21
48,43,37
37,34,29
35,25,24
35,23,23
38,34,33
30,32,29
24,23,21
48,27,32
69,32,40
54,39,42
50,29,34
54,27,36
56,20,32
60,22,35
58,25,36
42,16,27
38,23,30
40,38,41
30,40,41
23,42,40
20,40,38
21,40,38
32,43,45
38,41,46
35,34,40
2,2,26
23,32,49
43,56,65
45,44,50
40,30,31
34,29,23
26,34,19
35,43,28
43,43,33
36,37,31
24,35,29
21,37,36
25,29,38
22,13,30
27,18,39
43,42,60
43,43,51
27,40,30
21,44,28
24,45,46
19,33,44
23,35,31
31,50,30
19,39,30
17,28,46
17,16,34
32,25,15
42,40,19
30,31,35
16,20,45
20,23,32
25,27,5
39,39,37
22,37,32
10,35,29
18,37,35
26,34,37
20,28,31
16,26,27
26,27,29
38,23,28
37,21,22
31,30,25
32,42,31
40,41,33
54,40,37
59,39,40
35,21,20
46,38,19
19,43,19
3,53,28
0,42,22
22,35,18
45,39,23
41,35,19
43,36,30
36,20,30
38,17,36
41,28,45
28,29,33
29,38,33
30,41,35
10,26,25
17,38,41
36,42,40
35,27,38
32,15,33
32,18,31
25,23,24
34,36,31
49,39,47
32,10,31
33,9,33
32,21,35
25,24,29
31,26,33
48,31,49
49,27,48
38,27,35
40,41,36
43,45,31
31,32,27
29,28,34
33,31,44
40,37,48
30,28,31
24,22,23
38,36,39
42,39,50
36,32,47
23,20,31
32,30,35
37,35,38
31,28,37
33,28,50
31,24,57
20,36,26
33,50,31
25,38,20
33,34,29
43,29,42
31,18,27
27,26,21
23,34,26
35,46,48
19,20,25
27,19,17
48,39,32
27,25,26
21,24,33
42,45,50
23,25,22
45,15,39
43,44,48
18,44,33
16,36,25
36,36,28
42,38,26
30,42,30
12,33,38
8,26,48
11,25,38
15,31,18
28,48,23
19,36,28
7,20,28
17,38,33
19,52,25
12,20,0
26,39,29
20,40,39
0,15,18
16,29,35
32,36,47
26,23,42
22,23,43
29,38,45
27,40,31
29,37,26
36,31,37
37,19,43
35,17,39
39,30,31
30,34,11
30,21,14
38,33,30
37,37,39
36,41,45
16,27,29
4,21,15
22,38,27
19,33,18
11,19,6
20,23,16
45,45,45
38,36,41
22,23,27
35,39,38
33,43,34
18,30,16
24,22,23
16,6,17
40,26,41
47,41,43
26,36,25
21,38,32
27,37,49
33,36,55
19,22,37
12,26,39
13,30,50
20,30,55
39,39,51
51,46,43
40,41,33
28,38,30
61,40,37
52,43,44
29,39,41
13,32,28
18,30,18
28,30,17
29,30,24
20,35,32
0,30,20
5,34,16
17,30,10
25,27,14
27,26,24
23,13,21
35,12,18
55,16,19
15,26,30
21,20,26
37,31,33
35,32,23
28,30,19
25,27,26
15,18,27
15,24,31
14,29,24
28,39,35
29,32,39
11,18,34
0,24,29
5,38,31
24,44,33
24,23,18
34,31,14
39,39,27
40,41,33
37,34,29
39,38,34
40,49,46
9,28,24
22,37,34
22,27,23
30,31,26
30,35,29
17,24,17
35,36,30
30,23,17
26,15,11
35,25,24
40,10,46
33,23,48
27,39,51
14,32,34
8,19,15
30,29,24
47,40,30
37,28,19
39,30,21
50,43,37
40,45,41
29,45,42
24,42,44
33,36,45
49,30,50
54,18,44
42,48,44
36,36,34
41,30,34
38,23,28
41,26,31
44,33,37
34,28,32
31,25,29
45,36,41
37,30,37
33,28,34
31,30,35
32,33,37
41,36,43
46,33,43
45,23,36
33,38,67
31,33,58
46,44,65
39,37,51
21,18,27
29,24,28
37,33,32
30,29,27
32,36,35
30,38,40
34,39,45
29,31,43
27,29,44
39,38,56
40,35,57
28,18,43
19,18,24
26,37,29
16,37,20
16,37,30
34,47,53
41,51,53
34,50,40
25,45,34
19,33,34
29,29,39
33,24,29
28,24,21
26,30,29
27,37,39
34,39,42
41,42,37
30,45,40
12,29,23
18,30,28
27,32,35
21,22,27
25,28,33
32,42,44
23,35,35
22,24,23
29,19,20
46,32,32
43,33,31
32,31,26
37,36,31
40,30,28
44,25,27
39,33,33
30,41,35
23,53,41
12,49,32
20,44,31
37,42,35
30,25,22
20,14,14
43,34,37
42,27,34
31,10,19
31,20,24
22,32,24
25,49,35
43,66,50
21,35,22
20,38,42
32,40,42
17,17,17
21,22,24
35,46,48
15,29,32
12,17,21
38,33,39
35,28,36
27,29,41
13,23,35
15,22,32
34,31,38
36,30,34
23,24,28
19,30,32
36,36,34
29,29,29
40,40,42
50,50,52
31,31,31
32,32,30
25,25,23
20,20,22
39,38,46
39,37,50
28,26,40
38,36,49
46,45,53
33,31,42
24,22,35
23,19,34
28,34,20
25,39,26
25,42,32
19,30,22
29,28,26
40,31,34
29,24,30
34,35,37
36,38,37
25,24,22
26,22,23
38,38,38
27,36,33
17,28,24
32,33,35
40,30,38
28,37,42
31,40,37
33,44,36
39,52,45
29,40,32
23,29,17
35,37,26
32,37,40
20,29,44
9,17,28
31,31,29
48,48,38
28,34,34
20,33,39
39,48,45
36,39,22
36,25,5
39,30,23
38,35,42
24,23,39
26,27,47
16,17,38
8,10,33
19,26,44
20,34,34
31,49,27
30,44,18
35,38,29
44,36,51
47,35,57
50,40,48
50,43,35
33,33,21
40,42,31
39,42,31
19,24,17
11,17,13
20,25,28
24,31,37
28,35,43
29,36,44
18,25,31
17,23,23
26,32,28
41,46,39
38,44,32
33,39,27
46,52,38
18,13,33
32,29,40
38,36,39
27,27,29
26,30,33
27,33,31
18,28,20
29,38,37
29,36,46
22,29,45
16,24,35
17,24,32
25,29,40
28,30,42
28,32,35
33,40,33
30,31,25
24,41,33
15,45,33
23,46,30
39,47,26
39,37,16
25,28,11
17,29,17
12,32,21
0,21,8
13,36,20
19,35,24
26,26,24
51,35,36
51,21,19
52,19,12
34,37,28
24,30,26
25,34,31
32,35,26
31,27,18
29,23,33
25,27,50
19,32,48
30,45,42
25,30,24
17,16,24
8,14,30
15,39,41
15,43,28
28,42,27
23,20,15
38,23,4
46,46,36
8,19,11
23,30,14
31,33,11
22,29,13
25,45,34
23,44,29
14,28,2
36,47,17
17,32,13
16,28,18
34,30,19
33,15,1
42,28,19
40,36,37
38,10,51
24,17,48
21,39,53
12,40,43
3,26,20
24,37,28
43,43,33
31,18,10
41,23,19
30,25,21
10,29,23
12,47,41
17,45,48
15,18,35
29,11,37
50,21,52
32,43,37
23,32,27
25,31,29
21,27,25
21,27,25
31,37,35
35,36,38
31,29,32
34,25,30
39,26,33
48,32,42
46,29,39
33,16,26
27,10,20
34,14,26
40,20,32
19,30,52
35,31,56
42,30,54
24,20,35
22,26,35
40,37,44
45,32,41
39,29,37
24,32,35
11,25,28
28,31,40
41,35,49
27,26,40
21,29,40
28,27,43
20,5,26
15,10,16
22,29,22
22,39,21
25,43,29
29,39,40
31,38,46
35,47,47
30,47,37
28,41,31
29,30,35
23,14,31
28,25,36
42,48,44
37,50,40
28,37,36
34,34,46
23,44,37
26,41,38
17,22,25
7,10,15
18,17,25
25,22,31
28,29,34
31,45,45
19,40,35
26,30,29
58,37,42
53,26,31
34,24,23
23,30,23
16,16,14
38,22,25
26,30,42
33,38,42
41,52,46
28,50,37
16,39,29
17,27,28
19,16,25
21,19,24
12,14,11
44,39,35
35,15,17
38,23,28
28,42,42
11,43,30
34,55,38
39,36,19
0,20,23
0,19,15
23,35,25
32,47,40
13,34,35
8,32,36
28,44,44
30,36,32
27,33,31
